player_name,team_code,jersey_number,position,height_feet_inches,weight_pounds,college_name,country_name
Alijah Martin,TOR,55.0,G,6-2,210 lbs,Florida,USA
Caleb Martin,DAL,16.0,F,6-5,205 lbs,Nevada,USA
Tyrese Martin,BKN,13.0,F,6-6,215 lbs,Connecticut,USA
Bennedict Mathurin,IND,0.0,G-F,6-5,210 lbs,Arizona,Canada
Karlo Matković,NOP,17.0,F-C,6-10,231 lbs,Mega Basket,Bosnia and Herzegovina
Tyrese Maxey,PHI,0.0,G,6-2,200 lbs,Kentucky,USA
Miles McBride,NYK,2.0,G,6-2,195 lbs,West Virginia,USA
Jared McCain,PHI,20.0,G,6-3,195 lbs,Duke,USA
Mac McClung,IND,3.0,G,6-2,185 lbs,Texas Tech,USA
CJ McCollum,WAS,3.0,G,6-3,190 lbs,Lehigh,USA
T.J. McConnell,IND,9.0,G,6-1,190 lbs,Arizona,USA
Kevin McCullar Jr.,NYK,9.0,G,6-6,210 lbs,Kansas,USA
Jaden McDaniels,MIN,3.0,F,6-9,185 lbs,Washington,USA
Doug McDermott,SAC,7.0,F,6-7,225 lbs,Creighton,USA
Bryce McGowens,NOP,11.0,G,6-6,190 lbs,Nebraska,USA
Jordan McLaughlin,SAS,0.0,G,5-11,185 lbs,Southern California,USA
Liam McNeeley,CHA,33.0,F,6-7,210 lbs,Connecticut,USA
De'Anthony Melton,GSW,8.0,G,6-2,200 lbs,Southern California,USA
Sam Merrill,CLE,5.0,G,6-4,205 lbs,Utah State,USA
Khris Middleton,WAS,22.0,F,6-7,222 lbs,Texas A&M,USA
Brandon Miller,CHA,24.0,F,6-7,200 lbs,Alabama,USA
Emanuel Miller,CHI,2.0,F,6-5,215 lbs,TCU,Canada
Jordan Miller,LAC,22.0,G,6-5,194 lbs,Miami,USA
Leonard Miller,MIN,33.0,F,6-10,220 lbs,NBA G League Ignite,Canada
Riley Minix,SAS,27.0,F,6-7,230 lbs,Morehead State,USA
Josh Minott,BOS,8.0,F,6-8,205 lbs,Memphis,USA
Yves Missi,NOP,21.0,C,6-11,235 lbs,Baylor,Cameroon
Ajay Mitchell,OKC,25.0,G,6-4,190 lbs,California-Santa Barbara,Belgium
Davion Mitchell,MIA,45.0,G,6-0,202 lbs,Baylor,USA
Donovan Mitchell,CLE,45.0,G,6-2,215 lbs,Louisville,USA
Evan Mobley,CLE,4.0,C,6-11,215 lbs,Southern California,USA
Jonathan Mogbo,TOR,2.0,F,6-9,225 lbs,San Francisco,USA
Malik Monk,SAC,0.0,G,6-3,200 lbs,Kentucky,USA
Moses Moody,GSW,4.0,G,6-5,211 lbs,Arkansas,USA
Ja Morant,MEM,12.0,G,6-2,174 lbs,Murray State,USA
Trey Murphy III,NOP,25.0,F,6-8,206 lbs,Virginia,USA
Dejounte Murray,NOP,5.0,G,6-4,180 lbs,Washington,USA
Jamal Murray,DEN,27.0,G,6-4,215 lbs,Kentucky,Canada
Keegan Murray,SAC,13.0,F,6-8,225 lbs,Iowa,USA
Kris Murray,POR,24.0,F,6-8,218 lbs,Iowa,USA
Collin Murray-Boyles,TOR,12.0,F,6-7,245 lbs,South Carolina,USA
Svi Mykhailiuk,UTA,10.0,G-F,6-7,205 lbs,Kansas,Ukraine
Pete Nance,MIL,35.0,F,6-9,225 lbs,Northwestern,USA
Larry Nance Jr.,CLE,22.0,F-C,6-6,245 lbs,Wyoming,USA
Eli John Ndiaye,ATL,30.0,F,6-8,209 lbs,Real Madrid,Senegal
Andrew Nembhard,IND,2.0,G-F,6-4,191 lbs,Gonzaga,Canada
Ryan Nembhard,DAL,9.0,G,5-11,180 lbs,Gonzaga,Canada
Aaron Nesmith,IND,23.0,G-F,6-5,215 lbs,Vanderbilt,USA
Asa Newell,ATL,14.0,F,6-10,220 lbs,Georgia,USA
Georges Niang,UTA,31.0,F,6-6,230 lbs,Iowa State,USA
Yanic Konan Niederhäuser,LAC,14.0,C,6-11,242 lbs,Penn State,Switzerland
Zeke Nnaji,DEN,22.0,F-C,6-10,240 lbs,Arizona,USA
Jusuf Nurkić,UTA,30.0,C,6-11,290 lbs,Cedevita,Bosnia and Herzegovina
Josh Okogie,HOU,20.0,G,6-4,213 lbs,Georgia Tech,Nigeria
Onyeka Okongwu,ATL,17.0,F-C,6-10,240 lbs,Southern California,USA
Isaac Okoro,CHI,35.0,F-G,6-4,225 lbs,Auburn,USA
Lachlan Olbrich,CHI,47.0,C,6-8,236 lbs,Illawarra,Australia
Kelly Olynyk,SAS,8.0,F-C,7-0,240 lbs,Gonzaga,Canada
Royce O'Neale,PHX,0.0,F,6-6,226 lbs,Baylor,USA
Kelly Oubre Jr.,PHI,9.0,F-G,6-8,203 lbs,Kansas,USA
Chris Paul,LAC,3.0,G,6-0,175 lbs,Wake Forest,USA
